,description,id,created_on,status,project,author,subject,cliente
1404,Reinstalação do Certificado,8258,10/11/2020,Fechada,Suporte Técnico,Ana,Reinstalação do Certificado,EATFIT
1405,"cliente esta com varios boleto de 2014 ate agora em aberto, e gostaria de baixar todos",7472,17/8/2020,Fechada,Suporte Técnico,Ana,Boletos em aberto,MADECO
1406,Eu preciso gerar um relatório dos produtos cadastrados no grupo cadastro,8259,10/11/2020,Fechada,Suporte Técnico,Ana,Relatório de Produtos ,EATFIT
1407,Ajustado o layout do pedido de venda,7475,17/8/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout,DDN CONFECCOES
1408,"Olá,
Solicito que a mastercim efetue um comando para efetuar a baixa de boletos que constam em aberto , devido o período ser muito antigo

Baixar o período de 01/01/2014 a 30/07/2020 .... com o plano de contas - ""130 - boleto""  ",7474,17/8/2020,Fechada,Suporte Técnico,Ana,Baixa de Boletos em aberto,MADECO
1409,"Olá boa tarde!
Estamos em processo final de negociação com a empresa A Casa do Pão, e lá eles utilizam os micro terminais de vendas da Bematech Fit conforme seguem as imagens, gostaria de um registro para análise de possibilidade de integração com o sistema Mastercom por favor. Se não for possível pelas ferramentas já existentes necessitaremos dos respectivos tempos e prazos para apresentar ao cliente.
",7473,17/8/2020,Fechada,Suporte Técnico,Enghel,Micro terminais - A Casa do Pão,MASTERCIM
1410,"Ocorreram erros no processamento da nota! 
Operacao com nao contribuinte deve indicar operacao com consumidor final
até mudei ele para consumidor final: SIM não contribuinte",7762,30/9/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,KAIZER FOTOGRAVAÇÃO LTDA - ME
1411,"nao estou conseguindo acessar o sistema das estações
",7763,30/9/2020,Fechada,Suporte Técnico,Ana,Nao esta acessando o sistema,OSMAR MOTORES
1412,Estou tentando passar uma nota com data de hoje e esta dando erro de data/hora de emissão,7765,30/9/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota consumidor,LASSALE JOIAS
1413,Ana poderia ajudar a Alessandra a cadastrar uma nota o cliente vai dar entrada num valor e o restante vai ser parcelado,7764,30/9/2020,Fechada,Suporte Técnico,Ana,Duvida emissão de nota,BAGNOLIN
1414,"Ola...

Não conseguimos alterar o numero do pedido...
!pedido.png!",7771,30/9/2020,Fechada,Suporte Técnico,Ana,Pedido 281346 Duplicado -URGENTISSIMO,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1415,Ajuste de atalho,7775,1/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de atalho,LINHACO
1416,Erro de envio de email,7774,1/10/2020,Fechada,Suporte Técnico,Ana,Erro de email,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
1417,Ajuste de Layout de Ordem de Serviço,7778,1/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Ordem de Serviço,CASA DOS VARAIS
1418,Atualização no sistema,7776,1/10/2020,Fechada,Suporte Técnico,Ana,Atualização no sistema,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1419,"Relatórios - Faturamento - Carregamento por Placa

Cliente precisa que neste relatório saia também a quantidade por KG, hoje o relatório esta apresentando somente como unidade ( a qual informamos o fator de conversão no cadastro do produto)

em anexo esta outro modelo enviado",8260,10/11/2020,Fechada,Suporte Técnico,Ana,Ajuste Rel. de Carregamento por Placa,COPAVES - FRANGOS CANCAO
1420,Nota nao encontrada,7779,1/10/2020,Fechada,Suporte Técnico,Ana,Nota nao encontrada,REABILIT
1421,"""[17:27, 01/10/2020] +55 41 9666-9473: Eu sou a Patricia da Sannar balanças, tivemos um problema na nossa rede e o servidor mudou de IP e precisamos configurar o sistema para acessar o sistema e consultar uma nota urgentemente.""
Foi realizado o ajuste no caminho e cliente foi instruído a ajudar as configurações de rede para deixar os IP´s como fixos e evitar esse tipo de ocorrência, Paticia comentou que irão realizar esse procedimento.
Depois do processo realizado foi confirmado que o sistema pode ser acessado.
[17:38, 01/10/2020] +55 41 9666-9473: Foi, muito obrigada",7782,2/10/2020,Fechada,Suporte Técnico,Cleverson,Ajuste de configuração do Caminho.ini,SANNAR
1422,Divergências de informações na emissão de nota,7780,1/10/2020,Fechada,Suporte Técnico,Ana,Divergencias de informações,CHEMIGZ
1423,Ajuste de atalho nas estações e caminho de rede nos parametros,7781,1/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de atalho e caminho,IMPLANEWS SURGICAL
1424,Ajuste de atalho em uma das estações,7783,2/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de atalho,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
1425,"Base disponivel em: https://drive.google.com/drive/folders/1V8Fl94wPoSHBzJQ_RZoDEL2Kp8yQfBX9?usp=sharing

Movimento - nota fiscal - fechadas 
Ao estornar a nota *8386* apresentou um erro, no gerenciador de NFE ela apresenta como estornada, mas na receita esta como autorizada, quando tentei estornar novamente deu erro de numero da faixa ja utilizada, fui tentar enviar ela e a tela fica em branco

- Ja tentei renomear o arquivo e tentar imprimir novamente,e tentei estornar novamente",7777,1/10/2020,Fechada,Suporte Técnico,Ana,Erro de estorno de nota,FARMATEX DO BRASIL S/A
1426,"Ana, pode me dar um suporte aqui?
ta dando erro numa NF",7479,18/8/2020,Fechada,Suporte Técnico,Ana,Erro de NFE,REABILIT
1427,"Cliente relatou que ao dar entrada em uma Nota o Sistema não puxou o Produto corretamente, mesmo ele já estando cadastrado no sistema.
Passo a passo de teste.
Menu - Movimentações - Entrada - Entrada.
Importar XML, para o Item 2 cadastrei com o Cód. Fabricante 0002, ao carregar a tela de 
Entrada de Mercadorias alterei a serie para Modelo A1 e gravei.
Feito novamente o Processo de importação, alterei o Item para Cod. Fab para 0001 e dei entrada novamente alterando o Modelo para A1.
Ao importar novamente o XML o sistema Importou o 0001, mesmo o 0002 estando cadastrado, ou seja, o sistema está pegando sempre o ultimo código inserido.
Base de teste: https://drive.google.com/file/d/14CHGylkwFlyI-WoglkU2EstqPCpF1A_l/view?usp=sharing
--------------------
Alterei o XMl para o Nome/CNPJ da XMed.

Ao importar o XML o sistema não reconhece nenhum dos itens informados no XML.
Seleciono o Primeiro item e cadastro o produto no sistema como TESTE1 
!Tela01.png!
!Tela02.png!
Os demais vinculo a produtos já cadastrados no sistema.
!Tela04.png!
OBS: Note que o mesmo não está vinculado

Entrada de Mercadorias.
Entrada XMl, Seleciono o item 01 (o qual havia cadastrado no sistema), escolho um item aleatório já cadastrado no sistema e seleciono.
Ainda na tela de Detalhe do Produto, eu não clico em OK para salvar, simplesmente dou um fechar no X ou clico no botão anterior e saio da tela de Importação.

Menu - Movimento - Entradas - Entradas.
Clico novamente no Botão Importar Xml. O sistema vinculou o Item mesmo eu tendo clicado para sair(X)/Botão Anterior.
!Tela06.png!

Mesmo eu tendo cadastro anteriormente o primeiro produto (Cod Prod1) e não tendo finalizado a operação para vincular o Produto o sistema Vinculou e ao importar o XML o Sistema desconsiderou o Produto cadastrado no sistema mesmo ele tendo a mesma descrição do produto informado no XML.
!Tela07.png!",7873,8/10/2020,Fechada,Suporte Técnico,Elaine,Erro no vinculo do Produto na Importação do XML,MEDICA BRASIL
1428,Reinstalação do Atalho,9293,5/2/2021,Fechada,Suporte Técnico,Ana,Reinstalação do Atalho,LINHACO
1429,O equipamento do cliente intendeu o p00.exe como vírus após atualização e apagou o p00,9295,5/2/2021,Fechada,Suporte Técnico,Elaine,Cliente não consegue acessar o sistema,DDN CONFECCOES
1430,Cliente gostaria de um auxilio para ajustar os parametros ,8467,24/11/2020,Fechada,Suporte Técnico,Ana,Auxilio ticket 6474,COMPANHIA AMBIENTAL
1431,Auxilio para emissão de duas notas que estavam dando erro,7481,18/8/2020,Fechada,Suporte Técnico,Ana,Emissão de nota,DDN CONFECCOES
1432,auxilio  nota de devolução,8466,23/11/2020,Fechada,Suporte Técnico,Ana,auxilio  nota de devolução,IMPLANEWS SURGICAL
1433,Auxilio para caadastrar uma nova ncm,8465,23/11/2020,Fechada,Suporte Técnico,Ana,Cadastro - Ncm ,DOCES PASSOS
1434,"Cliente esta com algumas notas que na receita estão ok, mas no sistema ao tentar envia-las apresenta a mensagem de ""ERRO VERIFIQUE SUA CONEXÃO"", mas na pasta do nfe consta o arquivo de retorno,
se tento ir em MOVIMENTO - GERENCIADOR - e CONSULTAR O STATUS, apresenta o mesmo erro de conexão mas todas estão ok.

Notas: 18719, 18720, 18722, 18723, 18724, 18726, 18727,18728

base disponível em: https://drive.google.com/drive/folders/1ob1EqZb9EzV_oM_KuizezBxlNdrUcMHz?usp=sharing",8496,25/11/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,LINHACO
1435,"Cliente solicitou ajuste na danfe, deseja apresentar o campo csosn",8958,8/1/2021,Fechada,Suporte Técnico,Elaine,Ajuste na Danfe,RGM
1436,Ao clicar no e-mail da Nf sistema estava apresentando mensagem de erro.,8957,8/1/2021,Fechada,Suporte Técnico,Elaine,Erro ao enviar xml por e-mail,RGM
1437,"Bom Dia Ana; 
Verifiquei que NOVAMENTE o sistema só esta registrando a primeira parcela do BOLETO 01 de cada NOTA e não esta registrando as demais parcelas da nota no Banco, isso já aconteceu este ano e infelizmente esta ocorrendo novamente e não sabemos desde quando;
Esses tipos de erros atrapalham muito a nossa operação, temos que refazer e conferir todo o trabalho do sistema que seria uma ferramenta de automatização para nos ajudar a aproveitar melhor o tempo!
Favor verificar isso com urgência, pois os prejuízos pelo não recebimento das faturas bancárias estão se tornando incalculáveis pelos erros do MASTERCIM;

Base e os 4 últimos arquivos enviados para o banco disponíveis em: https://drive.google.com/drive/folders/1xfr5fQRwIl5VY4vSV3kQ1k7c9UCsS0q-?usp=sharing",7477,18/8/2020,Fechada,Suporte Técnico,Ana,Boleto com mais parcelas,FARMATEX DO BRASIL S/A
1438,Auxilio de um novo usuario em algumas telas do sistema,7768,30/9/2020,Fechada,Suporte Técnico,Ana,Auxilio novo usuario,FIXAR IND.COM.KITS AR CONDICIONADO LTDA
1439,Emissão de nota,7769,30/9/2020,Fechada,Suporte Técnico,Ana,Emissão de nota,GS MOVEIS DE VIME LTDA
1440,Nao esta conseguindo imprimir os cupons,6960,15/6/2020,Fechada,Suporte Técnico,Ana,Nao esta imprimindo as notas,KALARRAM MODAS
1441,Cliente renovou o certificado,6959,15/6/2020,Fechada,Suporte Técnico,Ana,Ajuste de Certificado,BJ USINAGEM LTDA - ME
1442,"Estou com uma divergência no relatório de faturamento, ele esta somando as devoluções emitidas ao invés de deduzir, com isso o contas a receber acaba emitindo um relatório com valor diferente, as notas não saem no financeiro
Notas que estão somando: 39118, 39179, 39203
Período: 01/06 a 05/05/2020

Relatório - financeiro - conta a receber; recebidas
Contas: A RECEBER
Data a considerar: EMISSÃO 
Período 01/06 a 05/06/2020
Valor total do Relatório: R$ 203.492,80


Relatório - faturamento - faturamento
por: EMISSÃO
Período 01/06 a 05/06/2020
Modo; FATURADOS
Valor total do Relatório: R$ 192.140,80",6957,15/6/2020,Fechada,Suporte Técnico,Ana,Divergencia no Relatorio de Faturamento,MEDICA BRASIL
1443,Cliente precisava de auxilio para efetuar a devolução de uma nota.,9294,5/2/2021,Fechada,Suporte Técnico,Elaine,Auxilio com nota de devolução,DOCES PASSOS
1444,"Base disponivel em: https://drive.google.com/drive/folders/126-TNpmIpJ0VFO1EXlH_73F4c1qd_zY6?usp=sharing

Quando a RM já tem itens utilizados, cliente gostaria que tenha uma opção de imprimir o checklist sem os itens utilizados , somente os pendentes.
Pois hoje o sistema mesmo criando um novo layout, quando tem itens utilizados ele apresenta o produto com o estoque zero.
Existe alguma possibilidade de realizar o processo ?

!betha.png!",9296,5/2/2021,Fechada,Suporte Técnico,Ana,R.M Impressão apenas de itens pendentes ,BETHA IMPLANTES
1445,"bom dia... preciso de uma informação
existe a possibilidade de criar um campo de observação no modelo de cupom fiscal eletronico?",7478,18/8/2020,Fechada,Suporte Técnico,Ana,Duvida,REABILIT
1446,Cliente estava com uma nota do mes 10 que nao foi o xml para a contabilidade,8261,10/11/2020,Fechada,Suporte Técnico,Ana,Nota nao encontrada,ATACADAO DA SOLA
1447,cliente precisa que saia o difal na nota para o PA,7047,22/6/2020,Fechada,Suporte Técnico,Ana,nota com difal,ADECCOR
1448,Liberação de acesso,7050,22/6/2020,Fechada,Suporte Técnico,Ana,Liberação de acesso,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1449,Cliente esta com uma nota em duplicidade,7049,22/6/2020,Fechada,Suporte Técnico,Ana,Duplicidade de NFE,HS IMPLANTES
1450,Cliente esta com uma nota com diferença na chave de acesso,7048,22/6/2020,Fechada,Suporte Técnico,Ana,Duplicidade com diferença na chave,PINHAO MOTO SERRAS
1451,Realizado o passo a passo que  o desenvolvimento passou para ajustar o relatorio,7051,22/6/2020,Fechada,Suporte Técnico,Ana,Divergencia no Relatorio de Faturamento,MEDICA BRASIL
1452,"Atualizei os preços de alguns itens no sistema, mas no app nao atualizou",7052,22/6/2020,Fechada,Suporte Técnico,Ana,Atualização dos preços,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
1453,"Eu preciso de um campo na Ordem de compra de aplicação onde faço a descrição para onde é o material que a pessoa esta solicitando, pois hoje tenho que ficar escrevendo com a caneta em cada um.

em anexo esta o áudio explicando melhor a solicitação do cliente.",7483,18/8/2020,Fechada,Suporte Técnico,Ana,Solicitação ordem de compra ,TRAVESSIA GUARATUBA
1454,Esta apresentando um erro na emissao de uma nota para SP,8836,22/12/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,COFFESUL
1455,Ana não estou conseguindo imprimir uma nota de serviço,8838,22/12/2020,Fechada,Suporte Técnico,Ana,Impressão de nota de serviço,SUPER CARGA
1456,Cliente solicitou treinamento do processo,8837,22/12/2020,Fechada,Suporte Técnico,Elaine,Treinamento referente a Ticket 8386,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1457,"<pre>
Ola,
Nos parâmetros tem as permissões, porem se eu deixo só para incluir uma entidade- cadastro ele não habilita para gravar
Somente se eu deixar com o alterar.
É isso mesmo????
</pre>

Utilitários - Programas 
*** Entidades - Cadastro - Alteração

Ao desmarcar a opção de *+ALTERAÇÃO+* para alguns níveis, e deixar apenas a opção *""INCLUSÃO""* , O sistema não habilita a o botão de gravar no cadastro de entidades.

!image002.png!
 ",7739,29/9/2020,Fechada,Suporte Técnico,Ana,Alteração de Parâmetros ,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1458,Cliente relatou que nota se encontrava em filtro de Fat pendente quando a mesma estava ok na receita.,8835,22/12/2020,Fechada,Suporte Técnico,Elaine,Nota no Fat Pendente e Ok na receita,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1459,"Cliente estava enviando uma nfe e apresentou o erro de duplicidade, instrui ele em como realizar o processo de autorização",6947,12/6/2020,Fechada,Suporte Técnico,Ana,Rejeição de NFE,DDN CONFECCOES
1460,Verificado que cliente esta com seu cnpj denegado no sintegra,8834,22/12/2020,Fechada,Suporte Técnico,Elaine,Mensagem de Irregularidade Fiscal ao emitir a nota,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1461,"estou tentando cadastrar um produto para poder emitir boa fiscal de venda deste produto
Na opção chave tem um ?
Clico nele e não abre para digitar o número da chave de acesso.",6948,12/6/2020,Fechada,Suporte Técnico,Ana,Duvida entrada de mercadoria,TITANIUM
1462,"preciso de sua ajuda, esta dando erro no cadastro do Estado do RS",8956,8/1/2021,Fechada,Suporte Técnico,Ana,Cadastro de Entidades - estado,TOP SURGICAL
1463,"Ao enviar um email esta apresentando o seguinte erro:

Iniciando processo de envio.
Configurando o cabeçalho do e-mail.
Logando no servidor de e-mail.
Iniciando os envios.
Erro : SMTP Error: Unable to send MailFrom.
530 5.7.0  https://support.google.com/mail/?p=WantAuthError g19sm901452qkl.86 - gsmtp",8265,11/11/2020,Fechada,Suporte Técnico,Ana,Ajuste de email,MOVEIS MARTIN
1464,Sistema estava apresentando mensagem ao tentar abrir o sistema,8954,8/1/2021,Fechada,Suporte Técnico,Elaine,Mensagem de erro ao  tentar logar no sistema,GS CAMPOS DISTRIBUIDORA DE ALIMENTOS
1465,Mensagem de duplicidade de evento ao emitir a carta de correção,8949,7/1/2021,Fechada,Suporte Técnico,Elaine,Mensagem de duplicidade de evento,RGM
1466,instalação Novo Atalho e alteração de senha no usuário CABIDE ,8266,11/11/2020,Fechada,Suporte Técnico,Ana,Novo Atalho,COPAVES - FRANGOS CANCAO
1467,Foi atualizado o sistema e precisa rodar script da tabela ibpt,8948,7/1/2021,Fechada,Suporte Técnico,Elaine,Atualizar tabela ibpt,MLV COMUNICAÇOES
1468,"Poderia verificar por gentileza, estou com dois caixas avulso no dia 04/11 e 07/11 e não sei quem fez, tem como verificar?",8264,11/11/2020,Fechada,Suporte Técnico,Ana,Caixa Divergente ,MATERCONS CAMPO MOURÃO
1469,"Cliente encaminhou um email relatando que ainda esta com problema com a filial deles, que eles não estão conseguindo importar os xml, que os códigos ficam divergentes.",8262,11/11/2020,Fechada,Suporte Técnico,Ana,Codigo no xml divergente,MEDICA BRASIL
1470,"Cliente esta com duas notas que ao enviar, esta apresentando o erro que não consta na base do sefaz
<pre>
Oii Ana tudo bem?
Quem fala é a Karina, a Juliana entrou em férias hoje e preciso que me de um help rsrs
Estamos sem internet e telefone aqui na empresa hj, e estou usando os dados móveis para emissão de NF, acredito que por esse motivo tive problema com duas notas, pela conexão ruim.. será que consegue me ajudar?
A de número 34816 e 34817 está dando essa msg
</pre>",8267,11/11/2020,Fechada,Suporte Técnico,Ana,auxilio  nota fiscal,YPEGAS
1471,"Cliente precisa emitir uma nota de ajuste para fazer o cancelamento da nf 1326 a qual referenciamos, cadastramos uma nova CFOP (5.556) conforme a contabilidade nos instruiu (dados abaixo), incluímos a nota, colocamos o fornecedor, cfop, informei a nota 1326 na opção de referenciada, mas ao enviar para a receita a mesma retorna com o seguinte erro: "" CFOP de devolução para NF-e que nao tem finalidade de devolução de mercadoria."" 

*NOTA CONSTA EM ABERTO Nº 1429*

DADOS QUE A CONTABILIDADE PASSOU

•	Emitir NF de Saída
•	CFOP 5556 
•	Com a finalidade 3 = AJUSTE 
•	Descrição da Natureza da Operação:  Estorno de NF não cancelada no prazo legal 
•	No campo de referencia de NFE informa a chave de acesso da nota fiscal que esta estornando. 
•	No campo dados adicionais informa: N° da Nota Fiscal / Data de Emissão / e o seguinte texto: Nota Fiscal de Estorno 
ref. emissão indevida nos termos do Art. 298 RICMS PR 
",6949,12/6/2020,Fechada,Suporte Técnico,Ana,nota  de complemento de icms ,DDN CONFECCOES
1472,"Ana eu preciso reimprimir o relatório de conferencia de umas RM, mas não estou conseguindo, quando clico em imprimir - imprimir atual, ele imprimir   a REQUISIÇÃO DE MATERIAIS, e para enviar o faturamento pro hospital preciso do relatório de conferencia que consta em anexo

Relatório dos seguintes pacientes preciso:
- Allison Rodrigo Bertelli
- Roberto de Souza
- Reinaldo Aparecido Piola
- Renato Fernandes de Carvalho

Base disponivel em: https://drive.google.com/drive/folders/18hDd64F5fsSbATS0PMaMoFHrHVT80VmA?usp=sharing

*Relatorio que ela precisa*
Relatorio_conferencia.jpeg",7476,17/8/2020,Fechada,Suporte Técnico,Ana,Relatório de Conferencia,MEDICA BRASIL
1473,"Movimento - Venda rapida - tela de Pagamento

Cliente deseja que na tela de pagamento da venda rápida retire a opção de VALE COMPRA e substitua para DEPOSITO/TRANSFERÊNCIA",6946,12/6/2020,Fechada,Suporte Técnico,Ana,Alteração de pagamento na venda rapida,GDS - GESSO E DECORACOES
1474,Cliente solicitou ajuste em um campo da danfe,8947,7/1/2021,Fechada,Suporte Técnico,Elaine,Ajuste na Danfe,RGM
1475,"na alteração dos produtos o valor do produto TIRA PARA CINTO aparece correto,  mas quando vai em buscar o produto na venda rápida, aparece outro preço",8268,11/11/2020,Fechada,Suporte Técnico,Ana,Valor de Produto divergente,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
1476,Ao tentar gerar o envio do xml do mês de Dezembro ,8961,8/1/2021,Fechada,Suporte Técnico,Ana,Erro ao enviar email,SUPER CARGA
1477,"Cliente relatou que quando atualiza o sistema, alguns pagamentos que foram baixados, retornam para abertos.",8271,11/11/2020,Fechada,Suporte Técnico,Ana,Financeiro,FIXAR IND.COM.KITS AR CONDICIONADO LTDA
1478,"Ao tentar gerar a nota fiscal, está apresentando a mensagem de erro da tabela do ibpt",8962,8/1/2021,Fechada,Suporte Técnico,Ana,Tabela do ibpt,COPAVES - FRANGOS CANCAO
1479,"Ao tentar encaminhado e-mail da Nf sistema estava apresentando a seguinte mensagem de erro.
Erro : SMTP Error: Unable to send MailFrom.
535 5.7.8  https://support.google.com/mail/?p=BadCredentials p48sm2370296qtp.67 - gsmtp
530 5.7.0  https://support.google.com/mail/?p=WantAuthError p48sm2370296qtp.67 - gsmtp",8269,11/11/2020,Fechada,Suporte Técnico,Elaine,Ajuda com a emissão do e-mail,ORTO IMPLANTES
1480,colocar o campo do total do serviço na somatória,7485,18/8/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Orçamento de venda,CHEMIGZ
1481,"Cliente reportou via email ao sr Wilson, que quando atualiza o sistema o conteúdo preenchido neste campo altera

Cadastro - Entidades - aba fiscais - campo OBS PARA NOTA FISCAL",8270,11/11/2020,Fechada,Suporte Técnico,Ana,Campo Observação no Cadastro de entidades,FIXAR IND.COM.KITS AR CONDICIONADO LTDA
1482,Ao gerar a nfe está apresentando erro de código de beneficio não informado,8959,8/1/2021,Fechada,Suporte Técnico,Ana,Erro de código de beneficio fiscal,AGNUS LIFE
1483,Ao gravar um orçamento de venda está apresentando erro,8960,8/1/2021,Fechada,Suporte Técnico,Ana,Mensagem de erro na inclusão do orçamento de venda,TOP SURGICAL
1484,ajustado o campo descrição que estava cortando,7486,18/8/2020,Fechada,Suporte Técnico,Ana,Ajuste danfe,EBTS - EMPRESA BRASILEIRA DE TREINAMENTO E SIMULAÇÃO LTDA
1485,"<pre>
 tenho alguns itens que é peso variável como vou fazer conversão?
</pre>

No relatorio de carregamento por placa, quando o peso do produto nao é por fixo como informo a quantidade no fator de conversão ?",8257,10/11/2020,Fechada,Suporte Técnico,Ana,Duvida interna - Rel de Carregamento por Placa,COPAVES - FRANGOS CANCAO
1486,"o meu pc foi formatado, e precisava ajustar o sistema",8840,22/12/2020,Fechada,Suporte Técnico,Ana,Ajuste no sistema,MEGAMAX AMBIENTES
1487,"Estou com alguns planos de contas que foram cadastrados incorretos, mas nao consigo excluir pois diz que tem títulos informados.",8272,11/11/2020,Fechada,Suporte Técnico,Ana,Duvida Plano de contas,GDS - GESSO E DECORACOES
1488,"Cliente entrou em contato informando que estava com problemas nas nfc's, conectei e eram todas com diferença na chave de acesso.
Corrigi a maioria e ficou apenas uma pendente que necessita de comando para ser corrigido, cliente falou que já iria embora e agendou para amanha de manhã.
",7487,18/8/2020,Fechada,Suporte Técnico,Enghel,Duplicidade com diferença na chave de acesso,OPTICALL
1489,estou tentando logar no sistema mas nao aparece a empresa,7488,19/8/2020,Fechada,Suporte Técnico,Ana,Erro operacional,GDS - GESSO E DECORACOES
1490,"Cliente precisa emitir uma nota complementar e não sabe o processo.
",8274,11/11/2020,Fechada,Suporte Técnico,Elaine,Nota complementar,REABILIT
1491,"Ficou um financeiro de uma nota e serviço apresentando no conta corrente, poderia deletar",8841,22/12/2020,Fechada,Suporte Técnico,Ana,Deletar um financeiro,COMPANHIA AMBIENTAL
1492,Não estou conseguindo abrir o sistema,7489,19/8/2020,Fechada,Suporte Técnico,Ana,Não esta abrindo o sistema,CARNEIROS SYSTEM LTDA
1493,Erro de email,6944,12/6/2020,Fechada,Suporte Técnico,Ana,Erro de email,FLORICULTURA JV
1494,Ana estou mandando uma nota e o valor do diferimento esta incorreto,7491,19/8/2020,Fechada,Suporte Técnico,Ana,Duvida Diferimento,DDN CONFECCOES
1495,Cliente queria que deixasse apenas os arquivos de 2020 na pasta de remessa pois estava atrapalhando na busca quando ia encaminhar ao banco,6945,12/6/2020,Fechada,Suporte Técnico,Ana,Compactar arquivos dos boletos antigos,MADECO
1496,"Cliente precisava identificar um determinado cliente filtrando pela cidade na tela de entidades e estava com dificuldades, conectei e mostrei o processo.",6952,15/6/2020,Fechada,Suporte Técnico,Enghel,Duvída Operacional,LOPLAST DISTRIBUIDORA DE EMBALAGENS LTDA
1497,Encaminhado o e-mail padrão informando que a atualização do sistema já está disponível e aguardando o retorno do cliente.,6970,16/6/2020,Fechada,Suporte Técnico,Enghel,Atualização do sistema,ORTO IMPLANTES
1498,Encaminhado o e-mail padrão informando que a atualização do sistema já está disponível e aguardando o retorno do cliente.,6969,16/6/2020,Fechada,Suporte Técnico,Enghel,Atualização do sistema,AGNUS LIFE
1499,"Cliente entrou em contato refente ao e-mail de atualização disponível do sistema

Sistema atualizado.",6968,16/6/2020,Fechada,Suporte Técnico,Enghel,Atualização do sistema,CARNEIROS SYSTEM LTDA
1500,tem uma nfc que esta com erro de duplicidade com diferença na chave,7492,19/8/2020,Fechada,Suporte Técnico,Ana,Ajuste danfe,OPT FOTO OPTICA LTDA ME   (OPTICALL)
1501,"Cliente entrou em contato solicitando que o suporte ensinasse tudo sobre o sistema pois ele era funcionário novo na empresa e queria saber como o sistema funcionava, então informei que não somos nós responsáveis pelo treinamento e que iria abrir a solicitação de treinamento que iria para a Carla proprietaria da empresa KFK no qual será enviado um orçamento do treinamento e se ela aprovar será feito.",7493,19/8/2020,Fechada,Suporte Técnico,Enghel,Treinamento Mastercom - KFK,KFK RACING MOTO PECAS LTDA.
1502,tentei fazer carta de correção e não consegui pois disse que o evento foi duplicado,8276,11/11/2020,Fechada,Suporte Técnico,Ana,Erro na emissão de CC-e,AGNUS LIFE
1503,"Encaminhado o e-mail padrão informando que a atualização do sistema já está disponível e aguardando o retorno do cliente.

Sistema atualizado",6971,16/6/2020,Fechada,Suporte Técnico,Enghel,Atualização do sistema,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
1504,"Preciso fazer notas de entrada, emiti nfs para o CNPJ errado na semana passada, agora preciso dar entrada nessas nfs e depois emitir a de saída certo",8277,11/11/2020,Fechada,Suporte Técnico,Ana,Auxilio nota fiscal de entrada,TOP SURGICAL
1505,Atalho sumiu da area de trabalho,7494,19/8/2020,Fechada,Suporte Técnico,Ana,Atalho novo,TRAVESSIA GUARATUBA
1506,Atualizado o certificado 2020 -2021,8278,11/11/2020,Fechada,Suporte Técnico,Ana,Ajuste de Certificado,FORMASAT
1507,"Base disponível: https://drive.google.com/drive/folders/1Y_dW7BRdC2MwpdR2YpJOeMLMyz-uS8T-?usp=sharing

Movimento - Nota fiscal

Ao enviar uma nota fiscal no xml esta indo o sequencial interno do sistema, ao invés código do fabricante conforme as configurações definidas.

Utilitários - Parâmetros - Movimentação - Impressão/Busca.
** Apresentar DANFE/XML -> código fabricante 

*Cliente gostaria que o sistema aceitasse as configurações definidas nos parâmetros, a qual ja esta marcado para sair no danfe/xml COD.FABRICANTE*",8275,11/11/2020,Fechada,Suporte Técnico,Ana,Codigo do fabricante no xml,FIXAR IND.COM.KITS AR CONDICIONADO LTDA
1508,esta apresentando erro na emissão de uma das notas de consumidor,8845,23/12/2020,Fechada,Suporte Técnico,Ana,Ajuste de NFCE,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1509,Cliente esta enviando a nfe e apresenta a mensagem de certificado vencido,6975,16/6/2020,Fechada,Suporte Técnico,Ana,Certificado vencido,COFFESUL
